node_id,name,omic_type
0,A1BG,mRNA
1,A1CF,mRNA
2,A2BP1,mRNA
3,A2LD1,mRNA
4,A2ML1,mRNA
5,A2M,mRNA
6,A4GALT,mRNA
7,A4GNT,mRNA
8,AAA1,mRNA
9,AAAS,mRNA
10,AACSL,mRNA
11,AACS,mRNA
12,AADACL2,mRNA
13,AADACL3,mRNA
14,AADACL4,mRNA
15,AADAC,mRNA
16,AADAT,mRNA
17,AAGAB,mRNA
18,AAK1,mRNA
19,AAMP,mRNA
20,AANAT,mRNA
21,AARS2,mRNA
22,AARSD1,mRNA
23,AARS,mRNA
24,AASDHPPT,mRNA
25,AASDH,mRNA
26,AASS,mRNA
27,AATF,mRNA
28,AATK,mRNA
29,ABAT,mRNA
30,ABCA10,mRNA
31,ABCA11P,mRNA
32,ABCA12,mRNA
33,ABCA13,mRNA
34,ABCA17P,mRNA
35,ABCA1,mRNA
36,ABCA2,mRNA
37,ABCA3,mRNA
38,ABCA4,mRNA
39,ABCA5,mRNA
40,ABCA6,mRNA
41,ABCA7,mRNA
42,ABCA8,mRNA
43,ABCA9,mRNA
44,ABCB10,mRNA
45,ABCB11,mRNA
46,ABCB1,mRNA
47,ABCB4,mRNA
48,ABCB5,mRNA
49,ABCB6,mRNA
50,ABCB7,mRNA
51,ABCB8,mRNA
52,ABCB9,mRNA
53,ABCC10,mRNA
54,ABCC11,mRNA
55,ABCC12,mRNA
56,ABCC13,mRNA
57,ABCC1,mRNA
58,ABCC2,mRNA
59,ABCC3,mRNA
60,ABCC4,mRNA
61,ABCC5,mRNA
62,ABCC6P1,mRNA
63,ABCC6P2,mRNA
64,ABCC6,mRNA
65,ABCC8,mRNA
66,ABCC9,mRNA
67,ABCD1,mRNA
68,ABCD2,mRNA
69,ABCD3,mRNA
70,ABCD4,mRNA
71,ABCE1,mRNA
72,ABCF1,mRNA
73,ABCF2,mRNA
74,ABCF3,mRNA
75,ABCG1,mRNA
76,ABCG2,mRNA
77,ABCG4,mRNA
78,ABCG5,mRNA
79,ABCG8,mRNA
80,ABHD10,mRNA
81,ABHD11,mRNA
82,ABHD12B,mRNA
83,ABHD12,mRNA
84,ABHD13,mRNA
85,ABHD14A,mRNA
86,ABHD14B,mRNA
87,ABHD15,mRNA
88,ABHD1,mRNA
89,ABHD2,mRNA
90,ABHD3,mRNA
91,ABHD4,mRNA
92,ABHD5,mRNA
93,ABHD6,mRNA
94,ABHD8,mRNA
95,ABI1,mRNA
96,ABI2,mRNA
97,ABI3BP,mRNA
98,ABI3,mRNA
99,ABL1,mRNA
100,ABL2,mRNA
101,ABLIM1,mRNA
102,ABLIM2,mRNA
103,ABLIM3,mRNA
104,ABO,mRNA
105,ABP1,mRNA
106,ABRA,mRNA
107,ABR,mRNA
108,ABT1,mRNA
109,ABTB1,mRNA
110,ABTB2,mRNA
111,ACAA1,mRNA
112,ACAA2,mRNA
113,ACACA,mRNA
114,ACACB,mRNA
115,ACAD10,mRNA
116,ACAD11,mRNA
117,ACAD8,mRNA
118,ACAD9,mRNA
119,ACADL,mRNA
120,ACADM,mRNA
121,ACADSB,mRNA
122,ACADS,mRNA
123,ACADVL,mRNA
124,ACAN,mRNA
125,ACAP1,mRNA
126,ACAP2,mRNA
127,ACAP3,mRNA
128,ACAT1,mRNA
129,ACAT2,mRNA
130,ACBD3,mRNA
131,ACBD4,mRNA
